section,keyword
summary,summary
summary,objective
summary,profile
summary,professional summary

skills,skills
skills,technical skills
skills,core competencies
skills,tech stack
skills,expertise

experience,experience
experience,work experience
experience,employment
experience,professional experience

projects,projects
projects,personal projects
projects,case studies

education,education
education,academics
education,qualifications
education,educations

certifications,certifications
certifications,licenses

achievements,achievements
achievements,awards
achievements,accomplishments
